year,rank,title,wikilink,network,rating,show_id,genre_id,genre,overview
1955,6,December Bride,//en.wikipedia.org/wiki/December_Bride,CBS,37.0,1020.0,35,comedy,"December Bride is an American sitcom that aired on the CBS television network from 1954 to 1959, adapted from the original CBS radio network series that aired from June 1952 through September 1953."
1955,7,You Bet Your Life,//en.wikipedia.org/wiki/You_Bet_Your_Life,NBC,35.4,4473.0,35,comedy,"You Bet Your Life is an American quiz show that aired on both radio and television. The original and best-known version was hosted by Groucho Marx of the Marx Brothers, with announcer and assistant George Fenneman. The show debuted on ABC Radio in October 1947, then moved to CBS Radio in September 1949 before making the transition to NBC-TV in October 1950. Because of its simple format, it was possible to broadcast the show simultaneously on the radio and on television. In 1960, the show was renamed The Groucho Show and ran a further year. Most episodes are in the public domain.

The play of the game, however, was secondary to the interplay between Groucho, the contestants, and occasionally Fenneman. The program was rerun into the 1970s, and later in syndication as The Best of Groucho. As such, it was the first game show to have its reruns syndicated."
1955,11,General Electric Theater,//en.wikipedia.org/wiki/General_Electric_Theater,CBS,32.9,4520.0,"35,18",comedy,General Electric Theater is an American anthology series hosted by Ronald Reagan that was broadcast on CBS radio and television. The series was sponsored by General Electric's Department of Public Relations.
1955,12,Private Secretary,//en.wikipedia.org/wiki/Private_Secretary_(TV_series),CBS,32.4,10666.0,35,comedy,"Private Secretary is an American sitcom that aired from February 1, 1953 to September 10, 1957 on CBS, alternating with The Jack Benny Program on Sundays at 7:30pm EST. The series stars Ann Sothern as Susan Camille ""Susie"" MacNamara, devoted secretary to handsome talent agent Peter Sands, played by Don Porter."
1955,14,The Red Skelton Show,//en.wikipedia.org/wiki/The_Red_Skelton_Show,CBS,32.3,10534.0,"35,10767,10751",comedy,"The Red Skelton Show is an American variety show that was a television staple for two decades, from 1951 to 1971. It was second to Gunsmoke and third to The Ed Sullivan Show in the ratings during that time. Skelton, who had previously been a radio star, had appeared in several motion pictures as well. Although his television series is largely associated with CBS, where it appeared for more than fifteen years, it actually began and ended on NBC. During its run, the program received three Emmy Awards, for Skelton as best comedian and the program as best comedy show during its initial season, and an award for comedy writing in 1961."
1955,15,The George Gobel Show,//en.wikipedia.org/wiki/The_George_Gobel_Show,NBC,31.9,26027.0,35,comedy,The George Gobel Show is an American television series hosted George Gobel that aired on NBC from 1954 to 1960.
1955,16,Arthur Godfrey's Talent Scouts,//en.wikipedia.org/wiki/Arthur_Godfrey's_Talent_Scouts#Television,CBS,31.1,9977.0,35,comedy,"Arthur Godfrey's Talent Scouts is an American radio and television variety show which ran on CBS from 1946 until 1958. Sponsored by Lipton Tea, it stars Arthur Godfrey, who was also hosting Arthur Godfrey and His Friends at the same time."
1955,17,The Lineup,//en.wikipedia.org/wiki/The_Lineup_(TV_series),CBS,30.8,80366.0,35,comedy,A diverse group of up-and-coming comedians perform 15-minute sets in this stand-up comedy showcase series.
1955,19,The Honeymooners,//en.wikipedia.org/wiki/The_Honeymooners,CBS,30.2,4439.0,"35,10751",comedy,A bus driver and his sewer worker friend struggle to strike it rich while their wives look on with weary patience. One of the most influential situation comedy television series in American history.
1955,21,The Life of Riley,//en.wikipedia.org/wiki/The_Life_of_Riley,NBC,29.9,22902.0,35,comedy,"Riley worked in an aircraft plant in California, but viewers usually saw him at home, cheerfully disrupting life with his malapropisms and ill timed intervention into minor problems."
1955,25,Lux Video Theatre,//en.wikipedia.org/wiki/Lux_Video_Theatre,NBC,28.9,12277.0,"18,35",comedy,"Lux Video Theatre is an American anthology series that was produced from 1950 until 1959. The series presented both comedy and drama in original teleplays, as well as abridged adaptations of films and plays."
1955,27,The George Burns and Gracie Allen Show,//en.wikipedia.org/wiki/The_George_Burns_and_Gracie_Allen_Show,CBS,28.4,30667.0,35,comedy,"Burns and Allen, an American comedy duo consisting of George Burns and his wife, Gracie Allen, worked together as a comedy team in vaudeville, films, radio and television and achieved great success over four decades."
1955,30,The Phil Silvers Show,//en.wikipedia.org/wiki/The_Phil_Silvers_Show,CBS,28.1,11747.0,35,comedy,"The Phil Silvers Show, originally titled You'll Never Get Rich, was a sitcom which ran on CBS from 1955 to 1959 for 142 episodes, plus a 1959 special. The series starred Phil Silvers as Master Sergeant Ernest G. Bilko of the United States Army.

The series was created and largely written by Nat Hiken, and won three consecutive Emmy Awards for Best Comedy Series. The show is sometimes titled Sergeant Bilko or simply Bilko in reruns, and is very often referred to by these names, both on-screen and by viewers. The show's success transformed Silvers from a journeyman comedian into a star, and writer-producer Hiken from a highly-regarded behind-the-scenes comedy writer into a publicly recognized creator."
