title,camera
The Smith Family,Unknown
The Mary Tyler Moore Show,Unknown
NBC Saturday Movie,Unknown
The Dean Martin Show,Unknown
The Carol Burnett Show,Multi-camera
The Partridge Family,Single-camera
NBC Monday Movie,Unknown
ABC Sunday Movie,Unknown
The Jim Nabors Hour,<!-- Either Single-camera or Multi-camera -->
CBS Thursday Movie,Unknown
All in the Family,Unknown
The Flip Wilson Show,Unknown
"Marcus Welby, M.D.",Single-camera
Gunsmoke,Unknown
ABC Movie of the Week,Unknown
Sanford and Son,Multi-camera
Mannix,Single-camera
Funny Face,Unknown
Adam-12,Unknown
The Mary Tyler Moore Show,Unknown
Here's Lucy,Unknown
Hawaii Five-O,Unknown
Medical Center,Unknown
The NBC Mystery Movie,Unknown
Ironside,Unknown
The Partridge Family,Single-camera
The F.B.I.,Unknown
The New Dick Van Dyke Show,Unknown
The Wonderful World of Disney,Unknown
Bonanza,Unknown
The Mod Squad,Unknown
Rowan & Martin's Laugh-In,Unknown
The Carol Burnett Show,Multi-camera
The Doris Day Show,Unknown
Monday Night Football,Multi-camera
ABC Sunday Movie,Unknown
The Sonny & Cher Comedy Hour,Unknown
Room 222,Single-camera
Cannon,Unknown
CBS Friday Movie,Unknown
All in the Family,Unknown
Sanford and Son,Multi-camera
Hawaii Five-O,Unknown
Maude,Unknown
Bridget Loves Bernie,| first_aired          = {{Start date|1972|9|16}}
The NBC Sunday Mystery Movie,Unknown
The Mary Tyler Moore Show,Unknown
Gunsmoke,Unknown
The Wonderful World of Disney,Unknown
Ironside,Unknown
Adam-12,Unknown
The Flip Wilson Show,Unknown
"Marcus Welby, M.D.",Single-camera
Cannon,Unknown
Here's Lucy,Unknown
The Bob Newhart Show,Multi-camera
Tuesday Movie of the Week,Unknown
Monday Night Football,Multi-camera
The Partridge Family,Single-camera
The Waltons,Unknown
Medical Center,Unknown
The Carol Burnett Show,Multi-camera
ABC Sunday Movie,Unknown
The Rookies,Single-camera
Barnaby Jones,Unknown
The Little People,Unknown
ABC Wednesday Movie of the Week,Unknown
NBC Monday Movie,Unknown
ABC Monday Movie,Unknown
The F.B.I.,Unknown
Kung Fu,Unknown
All in the Family,Unknown
The Waltons,Unknown
Sanford and Son,Multi-camera
M*A*S*H,Unknown
Hawaii Five-O,Unknown
Maude,Unknown
Kojak,Unknown
The Sonny & Cher Comedy Hour,Unknown
The Mary Tyler Moore Show,Unknown
Cannon,Unknown
The Six Million Dollar Man,Unknown
The Bob Newhart Show,Multi-camera
The Wonderful World of Disney,Unknown
The NBC Sunday Mystery Movie,Unknown
Gunsmoke,Unknown
Happy Days,{{unbulleted list|Single-camera (1974–1975)|Multi-camera (1975–1984)}}
Good Times,Multi-camera
Barnaby Jones,Unknown
Monday Night Football,Multi-camera
CBS Friday Night Movie,Unknown
Tuesday Movie of the Week,Unknown
The Streets of San Francisco,Unknown
Adam-12,Unknown
ABC Sunday Night Movie,Unknown
The Rookies,Single-camera
ABC Monday Movie,Unknown
The Carol Burnett Show,Multi-camera
Kung Fu,Unknown
Here's Lucy,Unknown
CBS Thursday Movie,Unknown
All in the Family,Unknown
Sanford and Son,Multi-camera
Chico and the Man,Multi-camera
The Jeffersons,Multi-camera
